Run2022C
356947:8102,08/06/22 20:46:12,350,350,94802329.359927908,90602295.498209909
356948:8102,08/06/22 23:03:58,88,88,21559733.962144297,19945890.577122398
356949:8102,08/06/22 23:40:25,94,94,22015866.626355909,21383048.119531848
356951:8102,08/07/22 00:29:25,274,274,59984738.041220523,58733072.655678637
356954:8102,08/07/22 02:28:59,364,364,70229233.687135682,67964380.745716929
356955:8102,08/07/22 04:51:58,380,380,64559042.721473895,63311519.803369343
356956:8102,08/07/22 07:20:44,109,109,15088548.560547529,14964202.972799748
356968:8103,08/07/22 11:00:07,172,172,49077896.701116756,47170284.082185887
356969:8103,08/07/22 12:14:36,236,236,69709920.239884242,66250780.599017017
356970:8103,08/07/22 13:48:42,366,366,97392119.867435724,94907616.504769459
356998:8106,08/08/22 06:36:19,5,5,1659952.522019246,1565209.786088872
356999:8106,08/08/22 06:44:07,58,58,18708651.749338962,16770472.796787133
357000:8106,08/08/22 07:08:08,50,50,11995072.413931979,10918029.729466438
357001:8106,08/08/22 07:29:31,183,183,52590116.995603375,50873486.088078722
357079:8112,08/09/22 04:42:08,22,22,8449779.817102758,7410198.954691823
357080:8112,08/09/22 04:52:58,616,616,198352306.037777215,191456631.368493110
357081:8112,08/09/22 09:12:46,759,759,180206745.067264318,176532357.239015281
357101:8113,08/09/22 18:11:07,50,50,18001011.866004668,17151832.269580580
357102:8113,08/09/22 18:48:55,105,105,36305119.859501399,34697243.851372421
357104:8113,08/09/22 19:59:35,4,4,1309937.121566703,1251199.477644837
357106:8113,08/09/22 20:26:05,60,60,18804852.251945183,17022676.934572507
357112:8113,08/09/22 21:05:03,519,519,140533868.274341136,134186514.229927793
357268:8115,08/10/22 19:34:00,74,74,23294493.774613272,21037666.177013583
357271:8115,08/10/22 20:10:57,1569,1569,447671656.803950787,416895272.446088374
357328:8118,08/11/22 19:45:57,62,62,18695363.811912786,16387206.512148509
357329:8118,08/11/22 20:13:21,668,668,231907138.570988894,217127012.434023082
357330:8118,08/12/22 00:34:27,157,157,46312697.125344448,42451168.201117739
357331:8118,08/12/22 01:38:29,23,23,6488921.017453768,5561527.797808561
